tree,level,leaf,left_count,right_count
0,0,0,3137,396863
0,1,0,3137,0
0,1,1,393733,3130
0,2,0,3137,0
0,2,1,3162,390571
0,2,2,0,0
0,2,3,0,3130
0,3,0,3137,0
0,3,1,3162,0
0,3,2,0,0
0,3,3,0,0
0,3,4,0,0
0,3,5,387439,3132
0,3,6,0,0
0,3,7,0,3130
0,4,0,3137,0
0,4,1,3162,0
0,4,2,0,0
0,4,3,0,0
0,4,4,0,0
0,4,5,384305,3134
0,4,6,0,0
0,4,7,0,0
0,4,8,0,0
0,4,9,0,0
0,4,10,0,0
0,4,11,0,0
0,4,12,0,0
0,4,13,0,3132
0,4,14,0,0
0,4,15,0,3130
0,5,0,3137,0
0,5,1,3162,0
0,5,2,0,0
0,5,3,0,0
0,5,4,0,0
0,5,5,381135,3170
0,5,6,0,0
0,5,7,0,0
0,5,8,0,0
0,5,9,0,0
0,5,10,0,0
0,5,11,0,0
0,5,12,0,0
0,5,13,0,0
0,5,14,0,0
0,5,15,0,0
0,5,16,0,0
0,5,17,0,0
0,5,18,0,0
0,5,19,0,0
0,5,20,0,0
0,5,21,0,3134
0,5,22,0,0
0,5,23,0,0
0,5,24,0,0
0,5,25,0,0
0,5,26,0,0
0,5,27,0,0
0,5,28,0,0
0,5,29,0,3132
0,5,30,0,0
0,5,31,0,3130
1,0,0,3137,396863
1,1,0,3137,0
1,1,1,393733,3130
1,2,0,3137,0
1,2,1,3162,390571
1,2,2,0,0
1,2,3,0,3130
1,3,0,3137,0
1,3,1,3162,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,3097,387474
1,3,6,0,0
1,3,7,0,3130
1,4,0,3137,0
1,4,1,3162,0
1,4,2,0,0
1,4,3,0,0
1,4,4,0,0
1,4,5,3097,0
1,4,6,0,0
1,4,7,0,0
1,4,8,0,0
1,4,9,0,0
1,4,10,0,0
1,4,11,0,0
1,4,12,0,0
1,4,13,3085,384389
1,4,14,0,0
1,4,15,0,3130
1,5,0,3137,0
1,5,1,3162,0
1,5,2,0,0
1,5,3,0,0
1,5,4,0,0
1,5,5,3097,0
1,5,6,0,0
1,5,7,0,0
1,5,8,0,0
1,5,9,0,0
1,5,10,0,0
1,5,11,0,0
1,5,12,0,0
1,5,13,3085,0
1,5,14,0,0
1,5,15,0,0
1,5,16,0,0
1,5,17,0,0
1,5,18,0,0
1,5,19,0,0
1,5,20,0,0
1,5,21,0,0
1,5,22,0,0
1,5,23,0,0
